Data;Hora;Temperatura;Umidade
06/11/18;1200;22;72
06/11/18;1800;29;55
07/11/18;0;24.2;72
07/11/18;1200;21;76
07/11/18;1800;28.2;62
08/11/18;0;23.6;64
08/11/18;1200;22;57
08/11/18;1800;25.6;54
09/11/18;0;21.6;68
09/11/18;1200;22.4;64
09/11/18;1800;26.2;53
10/11/18;0;23;70
10/11/18;1200;21.8;76
10/11/18;1800;25.2;67
11/11/18;0;22.8;82
11/11/18;1200;23;83
11/11/18;1800;32;45
12/11/18;0;26.6;58
12/11/18;1200;25.6;68
12/11/18;1800;33.8;39
13/11/18;0;28;59
13/11/18;1200;25.4;67
13/11/18;1800;34;40
14/11/18;0;31;55
14/11/18;1200;29.2;62
14/11/18;1800;23.2;86
15/11/18;0;22.2;89
15/11/18;1200;25.8;73
15/11/18;1800;31;54
16/11/18;0;26.8;75
16/11/18;1200;25.2;70
16/11/18;1800;33.8;45
17/11/18;0;28.4;57
17/11/18;1200;22.4;61
17/11/18;1800;31.2;50
18/11/18;0;26.6;72
18/11/18;1200;22.6;95
18/11/18;1800;24.4;90
19/11/18;0;17.6;96
19/11/18;1200;20;81
19/11/18;1800;22.2;78
20/11/18;0;19;79
20/11/18;1200;20.8;68
20/11/18;1800;28;50
21/11/18;0;21.6;68
21/11/18;1200;21;66
21/11/18;1800;29.8;49
22/11/18;0;24.6;65
22/11/18;1200;21;80
22/11/18;1800;29.6;54
23/11/18;0;26;70
23/11/18;1200;21;96
23/11/18;1800;19.2;98
24/11/18;0;18.6;100
24/11/18;1200;21.4;98
24/11/18;1800;28.6;60
25/11/18;0;24;75
25/11/18;1200;25.4;67
